Accession	BacMet_ID	Gene_name	Location	Organism	Compound	Description
P30847	BAC0040	baeS	Chromosome	Escherichia coli (strain K12)	"Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]"	Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons.
D0ZNE2	BAC0597	baeS	Chromosome	Salmonella Typhimurium	"Copper (Cu), Zinc (Zn), Tungsten (W), Sodium Deoxycholate (SDC) [class: Acid]"	Member of the two-component regulatory system BaeS/BaeR. Activates BaeR by phosphorylation which then activates the mdtABCD and probably the casABCDE-ygbT-ygbF operons.
P28246	BAC0041	bcr	Chromosome	Escherichia coli (strain K12)	Acriflavine [class: Acridine]	Involved in sulfonamide (sulfathiazole) and bicyclomycin resistance. Probable membrane translocase.
I7B1B9	BAC0704	bcrA	Plasmid	Listeria monocytogenes	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]	bcrA
I7A797	BAC0705	bcrB	Plasmid	Listeria monocytogenes	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]	bcrB
I6ZWM1	BAC0706	bcrC	Plasmid	Listeria monocytogenes	Benzylkonium Chloride (BAC) [class: Quaternary Ammonium Compounds (QACs)]	bcrC
Q8G0Y6	BAC0042	bepC	Chromosome	Brucella suis biovar 1 (strain 1330)	"Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)], Acriflavine [class: Acridine], Crystal Violet [class: Triarylmethane],  Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Involved in the efflux of toxic and relatively hydrophobic compounds. Influences survival inside the host. Probably part of a tripartite efflux pump, which is composed of an outer membrane efflux protein, an inner membrane protein and a protein that expands the periplasmic space. It can form a tripartite pump with BepD and BepE or with BepF and BepG."
Q8G2M7	BAC0043	bepD	Chromosome	Brucella suis biovar 1 (strain 1330)	"Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane]"	"Efflux pump periplasmic linker BepD. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics such as ampicillin, norfloxacin, ciprofloxacin, tetracycline, and doxycycline."
Q8G2M6	BAC0044	bepE	Chromosome	Brucella suis biovar 1 (strain 1330)	"Sodium Deoxycholate (SDC) [class: Acid], Ethidium Bromide [class: Phenanthridine], Crystal Violet [class: Triarylmethane]"	"Efflux pump membrane transporter BepE. Resistance conferred by BepDE is dependent on BepC. Involved in resistance to several unrelated toxic compounds, such as dyes, detergents and antibiotics."
Q8FWV8	BAC0045	bepF	Chromosome	Brucella suis biovar 1 (strain 1330)	"Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Efflux pump periplasmic linker BepF; Contribute to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE"
Q8FWV9	BAC0046	bepG	Chromosome	Brucella suis biovar 1 (strain 1330)	"Sodium Deoxycholate (SDC) [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate]"	"Efflux pump membrane transporter BepG; Contributes to resistance to some drugs, such as deoxycholate, sodium dodecyl sulfate and nalidixic acid, in the absence of BepD and BepE."
Q93HR0	BAC0047	bexA	Chromosome	Bacteroides thetaiotaomicron	Ethidium Bromide [class: Phenanthridine]	"A MATE family multidrug efflux transporter pump bexA; Confers resistance to norfloxacin, ciprofloxacin, and ethidium bromide"
P63697	BAC0048	bfrA	Chromosome	Mycobacterium tuberculosis	Iron (Fe)	"Bacterioferritin bfrA; Iron-storage protein, whose ferroxidase center binds Fe2+ ions, oxidizes them by dioxygen to Fe3+, and participates in the subsequent Fe3+ oxide mineral core formation within the central cavity of the protein complex"
P0AB40	BAC0049	bhsA/ycfR/comC	Chromosome	Escherichia coli (strain K12)	Copper (Cu)	Seems to be involved in the regulation of biofilm formation. May decrease biofilm formation by repressing cell-cell interaction and cell surface interaction
P39843	BAC0050	blt	Chromosome	Bacillus subtilis (strain 168)	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], Tetraphenylphosphonium (TPP) [class: Quaternary Ammonium Compounds (QACs)]"	"Energy-dependent efflux pump responsible for decreased drug accumulation in multi-drug-resistant cells. Probably uses a transmembrane proton gradient as the energy source. Causes the efflux of a variety of toxic substances, including such structurally diverse compounds as ethidium bromide, rhodamine and acridine dyes, tetraphenylphosphonium, puromycin, chloramphenicol, doxorubicin, and fluoroquinolone antibiotics."
P39909	BAC0051	bltD	Chromosome	Bacillus subtilis (strain 168)	"Spermidine [class: Polyamines], Spermine [class: Polyamines]"	"Spermine/spermidine acetyltransferase bltD; Acetylates both spermidine and spermine at primary propyl amine moieties, with spermine being the preferred substrate."
P39842	BAC0052	bltR	Chromosome	Bacillus subtilis (strain 168)	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine]"	Multidrug-efflux transporter 2 regulator; Activates transcription of the blt gene in response to structurally dissimilar drugs.
P33449	BAC0053	bmr	Chromosome	Bacillus subtilis (strain 168)	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine], Cetrimide (CTM) [class: Quaternary Ammonium Compounds (QACs)]"	"Energy-dependent efflux pump responsible for decreased drug accumulation in multi-drug-resistant cells. Probably uses a transmembrane proton gradient as the energy source. Causes the efflux of a variety of toxic substances, including such structurally diverse compounds as ethidium bromide, rhodamine and acridine dyes, tetraphenylphosphonium, puromycin, chloramphenicol, doxorubicin, and fluoroquinolone antibiotics."
P39075	BAC0054	bmrR	Chromosome	Bacillus subtilis (strain 168)	"Ethidium Bromide [class: Phenanthridine], Rhodamine 6G [class: Xanthene], Acridine Orange [class: Acridine]"	Multidrug-efflux transporter 1 regulator; Activates transcription of the bmr gene in response to structurally dissimilar drugs. Binds rhodamine as an inducer.
Q59465	BAC0055	cadA/yvgW	"Plasmids pI258 (S. aureus), Chromosome"	Helicobacter pylori (strain ATCC 700392/26695)(Campylobacter pylori)	"Cadmium (Cd), Zinc (Zn)"	"Cadmium efflux ATPase, has two domains (phosphatase, aspartyl kinase); Cadmium, zinc and cobalt-transporting ATPase; Couples the hydrolysis of ATP with the transport of cadmium, zinc and cobalt out of the cell"
P20047	BAC0056	cadC	Plasmid pI258 (Staphylococcus aureus)	Staphylococcus aureus	"Cadmium (Cd), Bismuth (Bi), Zinc (Zn), Lead (Pb)"	"Found in cad operon; bind to cad operator/promoter, its a repressor protein in the operon; Metal-binding repressor for the cad operon. Involved in resistance to heavy metals, such as cadmium, bismuth, zinc or lead. Binds 2 metal ions per subunit. Metal binding to the N-terminal regulatory site causes the repressor to dissociate from the DNA"
Q7A320	BAC0057	cadD	"Plasmid pN315 (Staphylococcus aureus (strain N315)),  Plasmid pLUH02 (Staphylococcus aureus (strain ECT-R 2) ), Chromosome"	Staphylococcus aureus (strain N315)	"Cadmium (Cd), Zinc (Zn)"	"Cadmium resistance permease; These proteins are members of the Cadmium Resistance (CadD) Family. To date, this family of proteins has only been found in Gram-positive bacteria. The CadD family includes two close orthologues in two Staphylococcus species that have been reported to function in cadmium resistance, and another staphylococcal protein that has been reported to possibly function in quaternary ammonium ion Export."
Q93TP7	BAC0058	cadR	"Plasmid pECd1 (uncultured bacterium), Chromosome"	Pseudomonas putida (Arthrobacter siderocapsulatus)	Cadmium (Cd)	Transcriptional regulator CadR; Responsible for cadmium resistance
A7LHQ4	BAC0059	cadX	Plasmid pLUG10 (Staphylococcus lugdunensis)	Streptococcus salivarius	"Cadmium (Cd), Zinc (Zn)"	Cadmium resistance regulatory protein CadX
Q7WZ38	BAC0060	cdeA	Chromosome	Clostridium difficile	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine]"	"A multidrug efflux transporter of the MATE family, CdeA"
Q8RR17	BAC0061	cepA	Chromosome	Klebsiella pneumoniae	Chlorhexidine [class: Biguanides]	"Cation-efflux pump cepA, Cation-efflux transporter that may have a role in detoxification by similarity. Associated with chlorhexidine resistance."
D3UGE4	BAC0062	ceuE	"Plasmid pUM505 (pseudomonas aeruginosa), Plasmid pB4 (uncultured bacterium), Plasmid pMOL28 (Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839))"	Psudomonas aeruginosa	Chromium (Cr)	Periplasmic iron-binding protein Iron(III) ABC transporter CeuE; Encodes for membrane proteins; This protein reduces chromate (CrO4) accumulation and is essential for chromate resistance.
P14285	BAC0063	chrA	Plasmid pUM505  (pseudomonas aeruginosa)	Psudomonas aeruginosa	Chromium (Cr)	Chromate (CrO4) transport protein ChrA; Responsible for the inducibility of the resistance
A4UQR4	BAC0026	chrA	Chromosome (transposon TnOtChr)	Ochrobactrum tritici	Chromium (Cr)	Part of chrBACF operon from the transposable element TnOtChr. It pumps chromate out of the cell.
P17551	BAC0548	chrA1	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	This protein reduces chromate accumulation and is essential for chromate resistance.
A4UQR5	BAC0027	chrB	Chromosome (transposon TnOtChr)	Ochrobactrum tritici	"Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]"	Part of chrBACF operon from the transposable element TnOtChr. Has a regulatory role for expression of the ChrA transporter.
P17552	BAC0064	chrB1	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	"Together with ChrA, this protein reduces chromate accumulation and is essential for chromate (CrO4) resistance, possibly as a regulatory protein."
P17550	BAC0547	chrC	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	"Fe-dependent Superoxide dismutase. This protein is not essential for chromate resistance, however it may contribute to resistance under certain environmental conditions. Destroys superoxide anion radicals which are normally produced within the cells and which are toxic to biological systems."
A4UQR3	BAC0028	chrC	Chromosome (transposon TnOtChr)	Ochrobactrum tritici	"Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]"	Part of chrBACF operon from the transposable element TnOtChr. ChrC encodes a superoxide dismutase.
Q5NUZ8	BAC0065	chrE	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	"ChrE, involved in the processing of chromium-glutathione-complexes"
Q5NUZ7	BAC0066	chrF	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	"ChrF, regulatory protein, involved in Chromate (CrO4) resistance"
A4UQR2	BAC0029	chrF	Chromosome (transposon TnOtChr)	Ochrobactrum tritici	"Chromium (Cr), Methyl Viologen [class: Paraquat], Menadione [class: Naphthoquinone]"	Part of chrBACF operon from the transposable element TnOtChr.
Q1L9W3	BAC0361	chrI	"Plasmid pMOL28 (Ralstonia metallidurans (strain CH34 / ATCC 43123 / DSM 2839)), Plasmid pB4 (uncultured bacterium)"	Ralstonia metallidurans (strain CH34/ATCC 43123/DSM2839)	Chromium (Cr)	"ChrI, regulatory protein, involved in Chromate resistance."
Q7BD45	BAC0538	chrR	Chromosome	Pseudomonas putida	"Chromium (Cr), Iron (Fe), Hydrogen Peroxide (H2O2) [class: Peroxides], 2,6-dichloroindophenol [class: Phenolic Compounds]"	A soluble quinone reductase of Pseudomonas putida that defends against H2O2. ChrR is a dimeric flavin mononucleotide-binding flavoprotein that is able to catalyze a full reduction of Cr(VI) to Cr(III). ChrR may also contribute to the survival of P. putida in the environment by preventing redox cycling of soluble quinones. Confers resistance to Pottasium Ferricyanide (Fe++ salt) as well.
P96977	BAC0539	chrR	Chromosome	Pseudomonas sp. (strain G-1)	Chromium (Cr)	Cr(VI) reductase. Absent in P. putida. 
ZP_06677963	BAC0707	chtR	Chromosome	Enterococcus faecium	Chlorhexidine [class: Biguanides]	DNA-binding response regulator
ZP_06677962	BAC0708	chtS	Chromosome	Enterococcus faecium	Chlorhexidine [class: Biguanides]	sensor histidine kinase
Q9I036	BAC0067	cinA	Chromosome	Pseudomonas aeruginosa PAO1	Copper (Cu)	Copper-containing azurin-like protein cinA; CinA is similar to the P. fluorescens DF57 Cot protein which is involved in copper tolerance;  cinA Influences the ability of Pseudomonas aeruginosa PAO1 to resist the bactericidal effect of copper
Q8RTE5	BAC0068	cmeA	Chromosome	Campylobacter jejuni	"Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]"	"RND efflux system, a periplasmic fusion protein CmeA. Part of the CmeABC multidrug efflux system in Campylobacter jejuni."
Q8RTE4	BAC0613	cmeB	Chromosome	Campylobacter jejuni	"Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine], Acridine orange [class: Acridine]"	An inner membrane efflux transporter. Part of the CmeABC multidrug efflux system in Campylobacter jejuni.
Q8RTE3	BAC0614	cmeC	Chromosome	Campylobacter jejuni	"Copper (Cu), Cobalt (Co), Sodium Chenodeoxycholate [class: Acid], Sodium Deoxycholate [class: Acid], Sodium Cholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Ethidium Bromide [class: Phenanthridine]  "	An outer membrane protein (CmeC). Part of the CmeABC multidrug efflux system in Campylobacter jejuni.
Q0P9M1	BAC0615	cmeD	Chromosome	Campylobacter jejuni	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]"	CmeD is the outer membrane protein.
Q0P9M0	BAC0616	cmeE	Chromosome	Campylobacter jejuni	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]"	CmeE is a periplasmic fusion protein
Q0P9L9	BAC0069	cmeF	Chromosome	Campylobacter jejuni	"Ethidium Bromide [class: Phenanthridine], Acriflavine [class: Acridine], Sodium Dodecyl Sulfate (SDS) [class: Organo-sulfate], Triton X-100 [class: Polyethylene glycol], Tween 20 [class: Polyoxyethylene], Empigen [class: Amine betaine], Sodium Cholate [class: Acid], Sodium Glycocholate [class: Acid], Sodium Taurocholate [class: Acid], Sodium Deoxycholate (SDC) [class: Acid], Sodium Chenodeoxycholate [class: Acid]"	Integral membrane component of efflux system (Multidrug efflux system CmeDEF)
